file,pdf_page,label,title,width_px,height_px
p001_1.png,1,,통화신용정책보고서,533,672
p002_1.png,2,,,315,175
p003_1.png,3,,통화신용정책보고서,533,729
p008_1.png,8,,기준금리를2.50%에서3.00%로,389,103
p008_2.png,8,,<물가상승률>,388,172
p008_3.png,8,,물가‧경기흐름및금융안정상황을면밀히,392,111
p009_1.png,9,,세계경제 성장률 전망1),200,172
p009_2.png,9,,"미국, 일본 국채금리, 글로벌 주가지수 및 미 달러화 지수",208,208
p009_3.png,9,,국내경제 성장률 전망1)2),198,217
p010_1.png,10,,물가상승률 전망1)3),198,232
p010_2.png,10,,국내 금리‧주가‧환율,206,184
p010_3.png,10,,주택매매가격 상승률,206,196
p011_1.png,11,,예금취급기관의 가계대출 증감,202,319
p011_2.png,11,,한국은행 기준금리1),198,208
p012_1.png,12,,한국은행 금융중개지원대출의 한도 및 금리1),202,533
p013_1.png,13,,Ⅰ,312,191
p013_2.png,13,,1. 세계경제,312,279
p015_1.png,15,표I-1,표 I-1. 주요국 경제성장률1)2),201,266
p015_2.png,15,그림I-1,그림 I-1. 경기선행지수1) 및 글로벌 PMI,201,214
p016_1.png,16,그림I-2,그림 I-2. 주요국 소비자물가 상승률,201,224
p016_2.png,16,그림I-3,그림 I-3. 국제유가1)와 원유 재고2),202,263
p017_1.png,17,그림I-4,그림 I-4. 글로벌 위험자산 회피심리1),201,221
p017_2.png,17,그림I-5,그림 I-5. 주요국 장기시장금리1),210,258
p018_1.png,18,그림I-6,그림 I-6. 주요 환율1) 및 미 달러화 지수,209,214
p018_2.png,18,그림I-7,그림 I-7. 선진국 및 신흥시장국 주가지수,202,280
p019_1.png,19,표I-2,표 I-2. 세계경제 성장률 전망1),202,449
p020_1.png,20,표I-3,표 I-3. 주요 경제성장지표1),200,258
p020_2.png,20,그림I-8,그림 I-8. 민간소비1),206,216
p021_1.png,21,그림I-9,그림 I-9. 건설투자1),209,216
p021_2.png,21,그림I-10,그림 I-10. 설비투자1),208,317
p022_1.png,22,그림I-11,그림 I-11. 일평균 수출액 및 수입액(통관 기준),201,206
p022_2.png,22,표I-4,표 I-4. 경상수지,199,241
p023_1.png,23,그림I-12,그림 I-12. 취업자수,199,199
p023_2.png,23,표I-5,표 I-5. 취업자수 증감1),202,388
p024_1.png,24,그림I-13,그림 I-13. 민간고용 증감과 추세,199,212
p024_2.png,24,그림I-14,그림 I-14. 고용률 및 실업률,199,183
p024_3.png,24,표I-6,표 I-6. 고용률 및 실업률,201,133
p025_1.png,25,표I-7,표 I-7. 항목별 명목임금 및 실질임금 상승률,203,559
p026_1.png,26,표I-8,표 I-8. 경제성장률 전망1),199,165
p026_2.png,26,그림I-15,그림 I-15. 실질GDP 성장률 전망1)2),202,331
p027_1.png,27,표I-9,표 I-9. 경상수지 전망1),203,167
p027_2.png,27,표I-10,표 I-10. 고용 전망1)2),201,154
p027_3.png,27,,AI 확산에 따른 반도체 관련,105,81
p028_1.png,28,그림I-16,그림 I-16. 소비자물가 상승률,201,206
p028_2.png,28,그림I-17,그림 I-17. 수입물가(원화 기준) 상승률,201,206
p029_1.png,29,표I-12,표 I-12. 소비자물가 상승률,204,384
